timestamp,, temperature_C,, pressure_kPa,, color_(R-G-B),,, brightness (Lumens)
1752701782,,23,,108,,(46,186,63),10
1752701782,,21,,104,,(55,154,14),3
1752701782,,22,,100,,(162,160,132),3
1752701782,,24,,100,,(144,62,206),19
1752701782,,28,,109,,(75,255,21),2
1752701782,,29,,104,,(186,162,188),2
1752701782,,28,,107,,(46,59,116),9
1752701782,,29,,102,,(210,94,64),0
1752701782,,27,,102,,(96,130,199),6
1752701782,,23,,102,,(237,32,127),12
1752701782,,24,,100,,(230,55,151),4
1752701782,,26,,108,,(150,58,177),11
1752701782,,22,,109,,(207,157,197),9
1752701782,,27,,109,,(135,110,195),13
1752701782,,26,,107,,(142,198,207),2
1752701782,,27,,104,,(166,248,48),9
1752701782,,25,,101,,(156,190,69),9
1752701782,,22,,104,,(66,220,28),0
1752701782,,20,,109,,(78,243,133),20
1752701782,,27,,100,,(142,114,177),11
1752701782,,22,,100,,(243,232,190),11
1752701782,,20,,106,,(93,46,190),5
1752701782,,24,,110,,(49,26,35),5
1752701782,,20,,105,,(31,180,141),8
1752701782,,24,,102,,(161,49,109),2
1752701782,,23,,105,,(27,27,4),4
1752701782,,27,,106,,(168,106,151),6
1752701782,,23,,107,,(238,128,254),17
1752701782,,22,,108,,(151,67,213),7
1752701782,,22,,103,,(67,205,235),11
1752701782,,22,,100,,(6,104,213),3
1752701782,,21,,103,,(212,203,166),11
1752701782,,29,,106,,(108,221,57),9
1752701782,,28,,106,,(160,102,149),8
1752701782,,26,,104,,(3,109,83),15
1752701782,,24,,104,,(109,63,7),3
1752701782,,23,,107,,(218,82,34),19
1752701782,,28,,107,,(128,119,201),0
1752701782,,23,,103,,(59,36,140),7
1752701782,,25,,102,,(155,185,10),6
1752701782,,21,,109,,(63,6,221),7
1752701782,,24,,101,,(56,136,112),15
1752701782,,20,,108,,(174,15,128),14
1752701782,,21,,106,,(3,203,122),3
1752701782,,29,,109,,(27,246,252),6
1752701782,,27,,107,,(156,150,24),11
1752701782,,21,,101,,(64,2,49),14
1752701782,,27,,104,,(141,57,136),7
1752701782,,26,,104,,(150,48,211),2
1752701782,,24,,100,,(137,142,115),15
1752701782,,22,,110,,(56,164,38),6
1752701782,,20,,106,,(231,126,71),1
1752701782,,27,,103,,(249,85,250),12
1752701782,,24,,108,,(93,212,214),20
1752701782,,24,,105,,(195,243,233),17
1752701782,,23,,108,,(0,71,47),11
1752701782,,24,,102,,(50,28,208),16
1752701782,,27,,106,,(123,193,188),8
1752701782,,27,,100,,(112,191,138),5
1752701782,,23,,104,,(143,244,157),13
1752701782,,26,,106,,(83,207,243),20
1752701782,,29,,109,,(202,31,67),11
1752701782,,28,,108,,(180,44,28),19
1752701782,,20,,108,,(139,28,79),9
1752701782,,28,,101,,(17,205,203),16
1752701782,,22,,102,,(53,173,171),0
1752701782,,26,,104,,(102,50,54),5
1752701782,,26,,105,,(178,7,234),3
1752701782,,20,,103,,(71,9,255),4
1752701782,,21,,102,,(43,159,221),7
1752701782,,21,,103,,(66,30,113),1
1752701782,,21,,102,,(5,52,117),20
1752701782,,21,,109,,(115,136,252),9
1752701782,,25,,109,,(30,28,224),3
1752701782,,20,,106,,(104,17,238),19
1752701782,,27,,103,,(72,211,222),8
1752701782,,28,,100,,(54,229,115),11
1752701782,,23,,102,,(6,192,99),16
1752701782,,21,,100,,(219,126,207),13
1752701782,,25,,100,,(133,74,114),12
1752701782,,21,,105,,(214,206,217),16
1752701782,,23,,104,,(221,26,56),13
1752701782,,21,,106,,(4,174,186),3
1752701782,,28,,107,,(136,178,103),0
1752701782,,28,,106,,(189,135,231),2
1752701782,,21,,101,,(34,46,213),11
1752701782,,20,,100,,(47,62,92),7
1752701782,,27,,110,,(98,89,84),10
1752701782,,24,,101,,(250,100,26),20
1752701782,,29,,104,,(88,242,211),17
1752701782,,23,,110,,(11,157,226),20
1752701782,,26,,110,,(232,63,181),7
1752701782,,22,,102,,(189,80,50),17
1752701782,,22,,108,,(134,211,113),5
1752701782,,28,,102,,(45,145,128),13
1752701782,,25,,106,,(51,156,106),7
1752701782,,26,,104,,(221,75,181),1
1752701782,,21,,109,,(183,47,16),16
1752701782,,27,,108,,(139,177,236),9
