Second,Status
1,No motion
2,No motion
3,No motion
4,No motion
5,No motion
6,No motion
7,Motion Detected
8,No motion
9,Motion Detected
10,Motion Detected
11,Motion Detected
12,Motion Detected
13,Motion Detected
14,Motion Detected
15,No motion
16,No motion
17,No motion
18,Motion Detected
19,Motion Detected
20,Motion Detected
21,No motion
22,No motion
23,No motion
24,No motion
25,Motion Detected
26,No motion
27,No motion
28,No motion
29,Motion Detected
30,No motion
31,Motion Detected
32,No motion
33,No motion
34,No motion
35,Motion Detected
36,Motion Detected
37,Motion Detected
38,Motion Detected
39,Motion Detected
40,Motion Detected
41,Motion Detected
42,Motion Detected
43,No motion
44,No motion
45,No motion
