Second,Cam1,Cam2
1,No motion,Motion Detected
2,No motion,Motion Detected
3,No motion,Motion Detected
4,No motion,Motion Detected
5,No motion,Motion Detected
6,Motion Detected,Motion Detected
7,Motion Detected,Motion Detected
8,No motion,Motion Detected
9,No motion,Motion Detected
10,No motion,Motion Detected
11,No motion,Motion Detected
12,No motion,Motion Detected
13,No motion,Motion Detected
14,No motion,No motion
15,Motion Detected,Motion Detected
16,No motion,No motion
17,No motion,No motion
18,Motion Detected,No motion
19,No motion,No motion
20,No motion,No motion
21,Motion Detected,No motion
22,Motion Detected,No motion
23,No motion,Motion Detected
24,No motion,Motion Detected
