timestamp,, temperature_C,, pressure_kPa,, color_(R-G-B),,, brightness (Lumens)
1753973887,,24,,103,,(61,146,119),1
1753973887,,26,,109,,(200,98,151),5
1753973887,,20,,108,,(246,203,100),1
1753973887,,22,,102,,(148,242,203),20
1753973887,,24,,103,,(165,45,174),10
1753973887,,25,,100,,(161,195,46),10
1753973887,,25,,105,,(88,192,172),5
1753973887,,21,,108,,(183,47,161),20
1753973887,,28,,103,,(219,81,107),15
1753973887,,20,,100,,(58,184,140),6
1753973887,,24,,106,,(198,72,31),2
1753973887,,25,,102,,(88,135,106),12
1753973887,,26,,100,,(199,202,207),11
1753973887,,22,,102,,(115,33,149),0
1753973887,,23,,101,,(48,15,60),14
1753973887,,22,,105,,(208,107,83),14
1753973887,,22,,103,,(195,4,17),10
1753973887,,29,,106,,(129,224,32),18
1753973887,,24,,103,,(188,36,80),20
1753973887,,29,,104,,(144,16,60),12
1753973887,,25,,109,,(32,147,252),13
1753973887,,24,,110,,(108,91,119),15
1753973887,,23,,110,,(68,123,2),16
1753973887,,21,,109,,(151,239,60),18
1753973887,,21,,105,,(159,171,109),7
1753973887,,23,,106,,(144,255,220),14
1753973887,,20,,101,,(212,109,202),3
1753973887,,20,,105,,(254,69,28),3
1753973887,,22,,102,,(250,167,216),17
1753973887,,29,,109,,(30,185,0),6
1753973887,,28,,110,,(46,52,115),6
1753973887,,24,,102,,(111,146,216),6
1753973887,,24,,106,,(91,132,194),14
1753973887,,27,,107,,(154,125,139),12
1753973887,,21,,105,,(71,114,159),6
1753973887,,27,,109,,(167,28,35),10
1753973887,,20,,108,,(225,100,70),16
1753973887,,22,,100,,(93,193,154),13
1753973887,,23,,105,,(201,169,65),4
1753973887,,23,,108,,(249,107,226),15
1753973887,,27,,101,,(32,14,147),8
1753973887,,25,,110,,(19,1,58),11
1753973887,,23,,101,,(145,194,35),14
1753973887,,21,,107,,(204,205,175),17
1753973887,,28,,100,,(160,107,106),17
1753973887,,21,,101,,(60,58,240),16
1753973887,,20,,107,,(49,136,95),10
1753973887,,23,,109,,(26,209,86),10
1753973887,,26,,110,,(91,9,162),0
1753973887,,24,,104,,(172,113,50),17
1753973887,,28,,101,,(109,44,232),10
1753973887,,25,,101,,(241,206,89),19
1753973887,,24,,102,,(65,154,166),12
1753973887,,27,,100,,(13,44,237),15
1753973887,,23,,100,,(192,193,0),2
1753973887,,23,,100,,(244,92,109),7
1753973887,,22,,109,,(182,115,244),17
1753973887,,28,,101,,(90,246,255),0
1753973887,,25,,102,,(215,191,194),6
1753973887,,23,,103,,(217,215,252),0
1753973887,,22,,109,,(16,15,157),5
1753973887,,26,,108,,(99,221,188),10
1753973887,,23,,102,,(18,130,152),6
1753973887,,23,,104,,(235,225,163),3
1753973887,,26,,109,,(28,139,202),3
1753973887,,21,,108,,(78,245,107),1
1753973887,,22,,108,,(8,203,195),5
1753973887,,23,,106,,(135,222,180),5
1753973887,,21,,108,,(152,42,51),9
1753973887,,27,,109,,(19,212,201),0
1753973887,,27,,107,,(1,60,216),19
1753973887,,27,,110,,(160,120,179),8
1753973887,,28,,103,,(184,209,168),8
1753973887,,29,,106,,(253,21,131),1
1753973887,,28,,100,,(124,221,63),9
1753973887,,22,,107,,(62,27,219),3
1753973887,,29,,107,,(163,139,138),13
1753973887,,24,,100,,(45,216,189),15
1753973887,,20,,102,,(169,155,180),17
1753973887,,24,,103,,(249,120,152),12
1753973887,,29,,103,,(245,4,81),15
1753973887,,22,,108,,(25,63,144),20
1753973887,,25,,108,,(238,198,200),14
1753973887,,23,,106,,(128,4,12),7
1753973887,,27,,105,,(62,15,6),16
1753973887,,28,,109,,(7,241,133),11
1753973887,,29,,106,,(100,145,96),15
1753973887,,28,,107,,(22,121,141),15
1753973887,,23,,103,,(127,33,199),18
1753973887,,29,,100,,(148,152,29),11
1753973887,,21,,103,,(89,148,50),2
1753973887,,21,,110,,(17,81,35),17
1753973887,,29,,103,,(177,214,72),17
1753973887,,28,,103,,(50,101,75),19
1753973887,,21,,110,,(205,75,77),10
1753973887,,24,,102,,(92,80,13),13
1753973887,,24,,108,,(64,105,79),6
1753973887,,22,,108,,(163,136,247),2
1753973887,,29,,108,,(248,150,144),18
