time,Cam1,Cam2
5,NC,NC
6,NC,NC
7,NC,NC
8,NC,NC
9,C,NC
10,NC,NC
11,C,NC
12,NC,NC
13,NC,C
14,NC,C
15,NC,C
16,C,NC
17,C,NC
18,NC,NC
19,C,NC
20,C,NC
21,NC,NC
22,C,NC
23,C,C
24,NC,C
25,NC,NC
26,C,NC
27,NC,NC
28,NC,NC
29,C,NC
30,NC,NC
31,NC,NC
32,NC,NC
33,C,NC
34,NC,NC
35,C,NC
36,C,NC
37,NC,NC
38,NC,NC
39,NC,NC
40,NC,NC
41,NC,NC
42,NC,NC
43,NC,NC
44,NC,C
45,NC,NC
46,C,NC
47,NC,C
48,C,C
49,NC,NC
50,NC,NC
51,C,NC
52,C,NC
53,NC,NC
54,C,NC
55,NC,NC
56,NC,NC
57,C,NC
58,C,NC
59,C,NC
60,C,NC
61,NC,NC
62,NC,NC
63,C,NC
64,NC,C
65,NC,C
66,C,NC
67,NC,NC
68,C,NC
69,C,C
70,C,C
71,NC,C
72,NC,NC
73,NC,NC
74,C,NC
75,C,NC
76,C,NC
77,NC,NC
78,NC,NC
79,NC,NC
80,NC,NC
81,C,NC
82,NC,NC
83,NC,NC
84,C,NC
85,C,NC
86,NC,C
87,C,C
88,NC,C
89,C,C
90,NC,NC
91,C,NC
92,NC,NC
93,C,NC
94,C,NC
95,C,NC
96,C,NC
97,C,NC
98,NC,NC
99,C,NC
100,NC,NC
101,NC,NC
102,NC,NC
103,NC,NC
104,C,NC
105,NC,NC
106,C,NC
107,NC,NC
108,NC,NC
109,NC,NC
110,NC,NC
111,NC,NC
112,C,NC
113,C,NC
114,NC,NC
115,NC,C
116,C,C
117,NC,NC
118,C,NC
119,C,NC
120,C,NC
