timestamp,, temperature_C,, pressure_kPa,, color_(R-G-B),,, brightness (Lumens)
1760329561,, 21,, 104,, (150,67,152), 5
1760329561,, 29,, 110,, (214,171,2), 18
1760329561,, 27,, 105,, (193,40,70), 20
1760329561,, 23,, 109,, (73,88,248), 18
1760329561,, 28,, 101,, (159,54,239), 5
1760329561,, 22,, 107,, (250,171,90), 14
1760329561,, 29,, 101,, (215,122,210), 20
1760329561,, 23,, 106,, (56,84,114), 18
1760329561,, 20,, 103,, (245,213,56), 15
1760329561,, 25,, 104,, (225,79,101), 9
1760329561,, 23,, 101,, (228,162,236), 13
1760329561,, 26,, 106,, (141,60,237), 10
1760329561,, 26,, 109,, (197,216,210), 14
1760329561,, 24,, 103,, (62,165,33), 12
1760329561,, 22,, 107,, (102,119,196), 12
1760329561,, 28,, 108,, (136,60,170), 19
1760329561,, 29,, 105,, (185,89,143), 18
1760329561,, 21,, 104,, (83,5,206), 10
1760329561,, 21,, 102,, (26,0,107), 14
1760329561,, 29,, 102,, (197,29,28), 16
1760329561,, 26,, 108,, (41,7,6), 19
1760329561,, 27,, 101,, (128,104,214), 11
1760329561,, 22,, 105,, (202,91,219), 20
1760329561,, 26,, 102,, (209,24,57), 13
1760329561,, 26,, 105,, (151,2,252), 0
1760329561,, 29,, 107,, (39,200,38), 2
1760329561,, 28,, 106,, (156,104,19), 16
1760329561,, 20,, 105,, (7,198,127), 8
1760329561,, 23,, 102,, (130,130,164), 16
1760329561,, 27,, 107,, (245,67,218), 18
1760329561,, 29,, 101,, (142,32,99), 14
1760329561,, 20,, 110,, (43,21,113), 9
1760329561,, 28,, 105,, (57,203,157), 0
1760329561,, 20,, 104,, (238,159,183), 7
1760329561,, 26,, 107,, (253,21,32), 19
1760329561,, 28,, 106,, (74,69,251), 17
1760329561,, 29,, 102,, (192,153,197), 3
1760329561,, 20,, 106,, (9,131,6), 1
1760329561,, 26,, 100,, (78,190,131), 14
1760329561,, 27,, 108,, (30,227,205), 19
1760329561,, 21,, 109,, (115,101,94), 2
1760329561,, 20,, 109,, (146,205,72), 11
1760329561,, 26,, 107,, (13,23,142), 5
1760329561,, 21,, 110,, (73,67,189), 10
1760329561,, 29,, 103,, (123,26,38), 12
1760329561,, 24,, 107,, (54,71,213), 4
1760329561,, 24,, 108,, (75,128,71), 7
1760329561,, 25,, 108,, (107,239,128), 8
1760329561,, 21,, 101,, (12,102,149), 1
1760329561,, 26,, 104,, (129,176,214), 18
1760329561,, 23,, 100,, (146,167,116), 14
1760329561,, 26,, 100,, (16,212,120), 2
1760329561,, 29,, 100,, (63,100,84), 10
1760329561,, 22,, 104,, (157,110,195), 9
1760329561,, 22,, 107,, (17,89,10), 15
1760329561,, 24,, 100,, (13,86,232), 3
1760329561,, 29,, 109,, (97,177,58), 20
1760329561,, 29,, 104,, (37,173,246), 19
1760329561,, 20,, 110,, (182,217,40), 2
1760329561,, 24,, 101,, (186,9,190), 4
1760329561,, 23,, 108,, (111,170,206), 4
1760329561,, 21,, 108,, (151,26,89), 13
1760329561,, 29,, 100,, (60,231,110), 12
1760329561,, 28,, 106,, (151,44,48), 7
1760329561,, 29,, 103,, (89,227,195), 16
1760329561,, 29,, 101,, (56,130,198), 20
1760329561,, 21,, 103,, (235,44,48), 8
1760329561,, 22,, 101,, (183,15,249), 17
1760329561,, 21,, 107,, (56,137,31), 3
1760329561,, 22,, 101,, (153,161,117), 17
1760329561,, 22,, 106,, (228,131,118), 13
1760329561,, 22,, 105,, (254,19,169), 3
1760329561,, 27,, 106,, (165,254,196), 0
1760329561,, 29,, 106,, (223,68,194), 11
1760329561,, 21,, 103,, (212,29,195), 18
1760329561,, 23,, 107,, (113,132,3), 18
1760329561,, 27,, 109,, (38,70,124), 1
1760329561,, 22,, 104,, (202,161,189), 3
1760329561,, 26,, 100,, (175,139,81), 18
1760329561,, 20,, 103,, (19,229,74), 10
1760329561,, 20,, 101,, (49,108,129), 0
1760329561,, 26,, 103,, (195,116,18), 17
1760329561,, 21,, 109,, (197,154,26), 0
1760329561,, 25,, 109,, (90,216,199), 9
1760329561,, 22,, 102,, (80,228,213), 2
1760329561,, 22,, 107,, (244,159,169), 6
1760329561,, 21,, 103,, (85,212,62), 3
1760329561,, 23,, 103,, (12,179,7), 6
1760329561,, 28,, 103,, (248,87,46), 20
1760329561,, 22,, 108,, (78,242,75), 9
1760329561,, 28,, 101,, (71,128,112), 13
1760329561,, 23,, 108,, (140,104,255), 15
1760329561,, 23,, 101,, (153,19,189), 6
1760329561,, 29,, 106,, (149,236,189), 15
1760329561,, 22,, 105,, (97,109,28), 13
1760329561,, 25,, 105,, (181,161,222), 9
1760329561,, 26,, 109,, (56,165,204), 9
1760329561,, 27,, 102,, (114,136,11), 13
1760329561,, 23,, 102,, (39,135,13), 7
